event_id,start_time,city,state,country,lat,lng,Event_Category
2587616435,2012-11-13T11:00:00.002Z,Sihanoukville,Kampot,Cambodia,10.633,103.5,Music
1145166049,2013-07-08T02:00:00.000Z,Palo Alto,CA,United States,37.442,-122.17200000000001,Sports
3580637647,2012-10-22T10:00:00.003Z,Los Angeles,CA,United States,3.156,101.61200000000001,Volunteer
1924180022,2012-11-11T20:00:00.003Z,Palo Alto,CA,United States,37.416,-122.152,Sports
2396566946,2012-12-12T18:00:00.002Z,Sihanoukville,Kampot,Cambodia,10.633,103.5,Art
2654661184,2012-11-26T00:00:00.001Z,Palo Alto,CA,United States,37.416,-122.152,Volunteer
229252687,2012-09-30T00:00:00.001Z,Palo Alto,CA,United States,37.416,-122.152,Entertainment
766157199,2012-12-06T21:00:00.002Z,New York,NY,United States,40.722,-74.0,Fashion
3893357703,2012-10-31T00:00:00.001Z,Menlo Park,CA,United States,37.484,-122.149,Dance
197942693,2012-11-24T00:00:00.001Z,Menlo Park,CA,United States,37.484,-122.149,Volunteer
68165527,2012-09-25T23:00:00.003Z,Atlanta,GA,United States,33.843,-84.381,Political
2215538627,2012-09-29T00:00:00.001Z,Chelsea,MA,United States,42.4,-71.02,Political
1524210198,2012-12-08T15:00:00.003Z,Trenton,ON,Canada,44.117,-77.594,Fashion
3568530093,2012-10-31T23:00:00.003Z,Chisholm,MN,United States,47.489,-92.87899999999999,Outdoors
3578194644,2012-12-22T04:00:00.003Z,Mobile,AL,United States,30.691,-88.044,Literature
1740216148,2012-12-15T04:00:00.003Z,Tarzana,CA,United States,34.181,-118.536,Outdoors
1291223,2012-12-15T03:30:00.003Z,Seattle,WA,United States,47.537,-122.28,Sports
3876880539,2012-07-27T22:00:00.000Z,New York,NY,United States,40.733000000000004,-73.986,Entertainment
3234404367,2012-11-18T21:30:00.003Z,Madison,WI,United States,43.051,-89.473,Sports
2460940520,2012-11-19T00:00:00.003Z,Washington,DC,United States,38.917,-77.027,Political
2564944207,2012-06-17T18:00:00.000Z,Ottawa,ON,Canada,45.417,-75.697,Entertainment
4040720416,2012-12-09T16:30:00.003Z,Oreland,PA,United States,40.116,-75.185,Fashion
3244310441,2012-09-29T03:00:00.003Z,Seattle,WA,United States,47.611999999999995,-122.32,Music
783009956,2012-11-22T03:00:00.003Z,Scottsburg,IN,United States,38.685,-85.792,Music
3541026589,2012-10-30T00:00:00.003Z,Selma,AL,United States,32.505,-86.991,Social
3848398728,2012-12-01T22:00:00.002Z,Brooklyn,New York,United States,,,Fashion
1380967886,2012-06-08T22:30:00.000Z,San Francisco,CA,United States,37.755,-122.419,Food
1390215838,2012-12-08T00:30:00.003Z,Huntington,WV,United States,38.42,-82.445,Fashion
585591875,2012-12-02T04:00:00.003Z,Canyon Country,CA,United States,34.455,-118.41799999999999,Political
2104779638,2012-12-02T04:00:00.003Z,Chandler,AZ,United States,33.236,-111.79,Literature
1411420719,2012-08-19T00:00:00.003Z,Austin,TX,United States,30.263,-97.715,Food
818429524,2012-12-08T15:30:00.003Z,Austell,GA,United States,33.858000000000004,-84.633,Food
588028409,2012-11-17T00:00:00.001Z,Fort Worth,TX,United States,32.736999999999995,-97.32700000000001,Outdoors
3107665104,2012-10-06T00:00:00.001Z,Scarborough,ON,Canada,43.716,-79.26,Social
1986350795,2012-07-17T17:30:00.000Z,Brooklyn,NY,United States,40.716,-73.953,Food
2059837219,2012-10-18T23:30:00.003Z,Lexington,KY,United States,38.036,-84.5,Entertainment
3302022697,2012-12-04T00:00:00.001Z,Columbus,OH,United States,40.093,-82.992,Dance
95222610,2012-11-09T00:00:00.001Z,Perth,WA,Australia,-31.975,115.789,Fashion
847448590,2012-11-26T03:30:00.003Z,Los Angeles,CA,United States,34.102,-118.304,Dance
2593875755,2012-11-30T21:00:00.002Z,Phoenix,Arizona,United States,,,Political
1975214296,2012-11-29T21:30:00.003Z,Philadelphia,PA,United States,39.965,-75.15,Social
1536697503,2012-11-08T00:00:00.003Z,Chapel Hill,NC,United States,35.91,-79.057,Political
2563401651,2012-05-21T15:00:00.000Z,Vancouver,BC,Canada,49.276,-123.1,Literature
2755694033,2012-12-15T21:00:00.003Z,Albuquerque,NM,United States,35.150999999999996,-106.62,Art
3368350052,2012-08-18T03:00:00.003Z,Arlington,TX,United States,32.736,-97.156,Dance
207098887,2012-08-12T04:00:00.000Z,Hollywood,CA,United States,34.1,-118.331,Music
